level,exp,
200,"2,207,026,470",
201,"2,471,869,646",
202,"2,768,494,003",
203,"3,100,713,283",
204,"3,472,798,876",
205,"3,889,534,741",
206,"4,356,278,909",
207,"4,879,032,378",
208,"5,464,516,263",
209,"6,120,258,214",
210,"7,956,335,678",
211,"8,831,532,602",
212,"9,803,001,188",
213,"10,881,331,318",
214,"12,078,277,762",
215,"15,701,761,090",
216,"17,114,919,588",
217,"18,655,262,350",
218,"20,334,235,961",
219,"22,164,317,197",
220,"28,813,612,356",
221,"30,830,565,220",
222,"32,988,704,785",
223,"35,297,914,119",
224,"37,768,768,107",
225,"49,099,398,539",
226,"52,536,356,436",
227,"56,213,901,386",
228,"60,148,874,483",
229,"64,359,295,696",
230,"83,667,084,404",
231,"86,177,096,936",
232,"88,762,409,844",
233,"91,425,282,139",
234,"94,168,040,603",
235,"122,418,452,783",
236,"126,091,006,366",
237,"129,873,736,556",
238,"133,769,948,652",
239,"137,783,047,111",
240,"179,117,961,244",
241,"184,491,500,081",
242,"190,026,245,083",
243,"195,727,032,435",
244,"201,598,843,408",
245,"262,078,496,430",
246,"269,940,851,322",
247,"278,039,076,861",
248,"286,380,249,166",
249,"294,971,656,640",
250,"442,457,484,960",
251,"455,731,209,508",
252,"469,403,145,793",
253,"483,485,240,166",
254,"497,989,797,370",
255,"512,929,491,291",
256,"528,317,376,029",
257,"544,166,897,309",
258,"560,491,904,228",
259,"577,306,661,354",
260,"1,731,919,984,062",
261,"1,749,239,183,902",
262,"1,766,731,575,741",
263,"1,784,398,891,498",
264,"1,802,242,880,412",
265,"2,342,915,744,535",
266,"2,366,344,901,980",
267,"2,390,008,350,999",
268,"2,413,908,434,508",
269,"2,438,047,518,853",
270,"5,412,465,491,853",
271,"5,466,590,146,771",
272,"5,521,256,048,238",
273,"5,576,468,608,720",
274,"5,632,233,294,807",
275,"11,377,111,255,510",
276,"12,514,822,381,061",
277,"13,766,304,619,167",
278,"15,142,935,081,083",
279,"16,657,228,589,191",
280,"33,647,601,750,165",
281,"37,012,361,925,181",
282,"40,713,598,117,699",
283,"44,784,957,929,468",
284,"49,263,453,722,414",
285,"99,512,176,519,276",
286,"109,463,394,171,203",
287,"120,409,733,588,323",
288,"132,450,706,947,155",
289,"145,695,777,641,870",
290,"294,305,470,836,577",
291,"323,736,017,920,234",
292,"356,109,619,712,257",
293,"391,720,581,683,482",
294,"430,892,639,851,830",
295,"870,403,132,500,696",
296,"957,443,445,750,765",
297,"1,053,187,790,325,840",
298,"1,158,506,569,358,420",
299,"1,737,759,854,037,630",
